episodes,mean 100 episode reward,steps
27900,1.0,1403350
28000,1.0,1408058
28100,1.0,1412561
28200,1.0,1417000
28300,1.0,1421498
28400,1.0,1426123
28500,1.0,1430609
28600,1.0,1435273
28700,1.0,1439923
28800,0.9,1445058
28900,1.0,1450207
29000,1.0,1454912
29100,1.0,1459758
29200,1.0,1464717
29300,1.0,1469341
29400,1.0,1473889
29500,1.0,1478488
29600,1.0,1482943
29700,1.0,1487483
29800,1.0,1492118
29900,1.0,1496797
30000,1.0,1501441
30100,1.0,1505950
30200,1.0,1510486
30300,1.0,1515132
30400,1.0,1519757
30500,1.0,1524554
30600,1.0,1529154
30700,1.0,1533672
30800,1.0,1538046
30900,1.0,1542568
31000,1.0,1547362
31100,1.0,1551943
31200,1.0,1557123
31300,1.0,1561960
31400,1.0,1566498
31500,1.0,1571058
31600,1.0,1575960
31700,1.0,1580508
31800,1.0,1585212
31900,1.0,1589905
32000,1.0,1594770
32100,1.0,1599197
32200,1.0,1603850
32300,1.0,1608404
32400,1.0,1612989
32500,1.0,1618003
32600,1.0,1622255
32700,1.0,1627255
32800,1.0,1631720
32900,1.0,1636161
33000,1.0,1640630
33100,1.0,1645200
33200,1.0,1649763
33300,1.0,1654227
33400,1.0,1658980
33500,1.0,1664013
33600,1.0,1668856
33700,1.0,1673611
33800,1.0,1678302
33900,1.0,1682891
34000,1.0,1687519
34100,1.0,1691959
34200,1.0,1696548
34300,1.0,1701351
34400,1.0,1705854
34500,1.0,1710584
34600,1.0,1714925
34700,1.0,1719936
34800,1.0,1724363
34900,1.0,1729091
35000,1.0,1734055
35100,1.0,1738571
35200,1.0,1743113
35300,1.0,1747751
35400,1.0,1752222
35500,1.0,1756962
35600,1.0,1761543
35700,1.0,1766200
35800,1.0,1771601
35900,1.0,1776357
36000,1.0,1780849
36100,1.0,1785638
36200,1.0,1790158
36300,1.0,1794840
36400,1.0,1799309
36500,1.0,1804723
36600,1.0,1809637
36700,1.0,1814138
36800,1.0,1818683
36900,1.0,1823394
37000,1.0,1827926
37100,1.0,1832763
37200,1.0,1837430
37300,1.0,1842100
37400,1.0,1846727
37500,1.0,1851113
37600,1.0,1855762
37700,1.0,1860429
37800,1.0,1864870
37900,1.0,1869699
38000,1.0,1874672
38100,1.0,1879374
38200,1.0,1884229
38300,1.0,1888699
38400,1.0,1893323
38500,1.0,1897866
38600,0.9,1902208
38700,1.0,1907302
38800,1.0,1912214
38900,1.0,1916659
39000,1.0,1921172
39100,1.0,1925597
39200,1.0,1929967
39300,1.0,1934339
39400,1.0,1939332
39500,1.0,1944037
39600,1.0,1948882
39700,1.0,1953302
39800,1.0,1958187
39900,1.0,1962924
40000,1.0,1967315
40100,1.0,1972279
40200,1.0,1976618
40300,1.0,1981575
40400,1.0,1986674
40500,1.0,1991332
40600,1.0,1996069
