r,l,rm
1.0,547,../experiments/water/reward_machines/t7.txt
1.0,506,../experiments/water/reward_machines/t8.txt
0.0,10,../experiments/water/reward_machines/t9.txt
0.0,7,../experiments/water/reward_machines/t10.txt
1.0,103,../experiments/water/reward_machines/t1.txt
1.0,390,../experiments/water/reward_machines/t2.txt
1.0,74,../experiments/water/reward_machines/t3.txt
1.0,328,../experiments/water/reward_machines/t4.txt
1.0,311,../experiments/water/reward_machines/t5.txt
1.0,424,../experiments/water/reward_machines/t6.txt
1.0,312,../experiments/water/reward_machines/t7.txt
1.0,325,../experiments/water/reward_machines/t8.txt
0.0,124,../experiments/water/reward_machines/t9.txt
0.0,25,../experiments/water/reward_machines/t10.txt
1.0,328,../experiments/water/reward_machines/t1.txt
1.0,175,../experiments/water/reward_machines/t2.txt
1.0,443,../experiments/water/reward_machines/t3.txt
1.0,90,../experiments/water/reward_machines/t4.txt
1.0,92,../experiments/water/reward_machines/t5.txt
1.0,173,../experiments/water/reward_machines/t6.txt
1.0,495,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,71,../experiments/water/reward_machines/t9.txt
0.0,8,../experiments/water/reward_machines/t10.txt
1.0,66,../experiments/water/reward_machines/t1.txt
1.0,69,../experiments/water/reward_machines/t2.txt
1.0,87,../experiments/water/reward_machines/t3.txt
1.0,319,../experiments/water/reward_machines/t4.txt
1.0,127,../experiments/water/reward_machines/t5.txt
1.0,347,../experiments/water/reward_machines/t6.txt
0.0,600,../experiments/water/reward_machines/t7.txt
1.0,504,../experiments/water/reward_machines/t8.txt
0.0,7,../experiments/water/reward_machines/t9.txt
0.0,58,../experiments/water/reward_machines/t10.txt
1.0,247,../experiments/water/reward_machines/t1.txt
1.0,65,../experiments/water/reward_machines/t2.txt
1.0,222,../experiments/water/reward_machines/t3.txt
1.0,181,../experiments/water/reward_machines/t4.txt
1.0,130,../experiments/water/reward_machines/t5.txt
1.0,272,../experiments/water/reward_machines/t6.txt
1.0,338,../experiments/water/reward_machines/t7.txt
1.0,520,../experiments/water/reward_machines/t8.txt
0.0,6,../experiments/water/reward_machines/t9.txt
0.0,79,../experiments/water/reward_machines/t10.txt
1.0,113,../experiments/water/reward_machines/t1.txt
1.0,21,../experiments/water/reward_machines/t2.txt
1.0,91,../experiments/water/reward_machines/t3.txt
1.0,364,../experiments/water/reward_machines/t4.txt
1.0,122,../experiments/water/reward_machines/t5.txt
1.0,296,../experiments/water/reward_machines/t6.txt
1.0,514,../experiments/water/reward_machines/t7.txt
1.0,542,../experiments/water/reward_machines/t8.txt
0.0,52,../experiments/water/reward_machines/t9.txt
0.0,13,../experiments/water/reward_machines/t10.txt
1.0,228,../experiments/water/reward_machines/t1.txt
1.0,408,../experiments/water/reward_machines/t2.txt
1.0,70,../experiments/water/reward_machines/t3.txt
1.0,337,../experiments/water/reward_machines/t4.txt
1.0,172,../experiments/water/reward_machines/t5.txt
1.0,146,../experiments/water/reward_machines/t6.txt
1.0,292,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,27,../experiments/water/reward_machines/t9.txt
0.0,251,../experiments/water/reward_machines/t10.txt
1.0,210,../experiments/water/reward_machines/t1.txt
1.0,102,../experiments/water/reward_machines/t2.txt
1.0,61,../experiments/water/reward_machines/t3.txt
1.0,104,../experiments/water/reward_machines/t4.txt
1.0,308,../experiments/water/reward_machines/t5.txt
1.0,191,../experiments/water/reward_machines/t6.txt
1.0,404,../experiments/water/reward_machines/t7.txt
1.0,298,../experiments/water/reward_machines/t8.txt
0.0,19,../experiments/water/reward_machines/t9.txt
0.0,180,../experiments/water/reward_machines/t10.txt
1.0,205,../experiments/water/reward_machines/t1.txt
1.0,293,../experiments/water/reward_machines/t2.txt
1.0,83,../experiments/water/reward_machines/t3.txt
1.0,149,../experiments/water/reward_machines/t4.txt
1.0,99,../experiments/water/reward_machines/t5.txt
1.0,380,../experiments/water/reward_machines/t6.txt
1.0,377,../experiments/water/reward_machines/t7.txt
1.0,368,../experiments/water/reward_machines/t8.txt
0.0,13,../experiments/water/reward_machines/t9.txt
0.0,174,../experiments/water/reward_machines/t10.txt
1.0,82,../experiments/water/reward_machines/t1.txt
1.0,181,../experiments/water/reward_machines/t2.txt
